chinese,english
我 觉得 汤姆 听说 过 我们,I thought Tom had heard us
上週 我 休 了 一天 的 假,I took a day off last week
我 想要 有 我 自己 的 房间,I want to have my own room
我 想 在 这里 再待 一会,I want to stay here longer
我 就 想 看看 汤姆 的 房间,I wanted to see Tom's room
我 想 把 它給 你 看,I wanted to show it to you
我 一整天 都 觉得 很 消沉,I was feeling blue all day
我 上 個 月 在 波士 頓,I was in Boston last month
我 有朝一日 会 成为 一名 医生,I will be a doctor someday
今晚 我將 與 你 在 一起,I will be with you tonight
我會 為 你 做 任何 事,I will do anything for you
我 非常 希望 能够 去 日本,I wish I could go to Japan
要是 能 去 日本 就 好 了,I wish I could go to Japan
我 希望 能 与 你 谈话,I wish I could talk to you
我 希望 我 賺 更 多 的 錢,I wish I earned more money
但願 我 知道 他 在 哪裡,I wish I knew where he was
要是 我們 贏了 這場 比賽 就 好 了,I wish we had won the game
但願 我們 贏了 這場 比賽 就 好 了,I wish we had won the game
我 不会 在 这里 呆 很 久,I won't stay here for long
我 永远 不会 让 你 失望,I would never let you down
我要 为 你 演奏 一首 奏鸣曲,I'll play a sonata for you
我 很 高兴 你们 都 在,I'm glad you guys are here
我 也 会 想 你 的,I'm going to miss you too
我 不 習慣 辛辣 的 食物,I'm not used to spicy food
我 确定 它 将 会 很 有趣,I'm sure that it'll be fun
我 在 這裡 很長 一段 時間 了,I've been here a long time
这 活儿 我 干 了 一辈子,I've done this all my life
你 若 累 了 就 去 睡個 覺,If you're tired go to bed
这些 都 是 你 不得不 做 的 吗,Is that all you have to do
這條 蛇 是 活 的 還是 死 的,Is the snake alive or dead
有 什么 事 我 可以 做 吗,Is there anything I can do
太熱 了 不能 待 在 這裡,It is too hot to stay here
聽起 來 是 個 好 主意,It sounds like a good idea
這對 我 是 很大 的 震撼,It was a great shock to me
下次 该轮 到 我 开车 了,It's my turn to drive next
它 不是 猫 它 是 狗,It's not a cat It's a dog
我 给 你 再 买 一个 吧,Let me buy you another one
让 我 来 给 你 举个 例子 吧,Let me give you an example
讓 我們 快點 做 完 吧,Let's finish up in a hurry
瑪麗 是 一個 非常 漂亮 的 姑娘,Mary is a very pretty girl
我現 在 可以 來 看看 你 嗎,May I come and see you now
或許 我 該 去 幫 湯姆,Maybe I should go help Tom
我 的 腳踏車 輪胎 沒氣 了,My bicycle has a flat tire
你 可以 随便 用 我 的 车,My car is at your disposal
我 的 梦想 是 成为 医生,My dream is to be a doctor
我 的 夢 想 是 去 日本,My dream is to go to Japan
我 的 父親 買 了 一輛 新車,My father bought a new car
我 的 朋友 都 叫 我 湯姆,My friends all call me Tom
我 的 母親 在 做 蛋糕,My mother is making a cake
我 的 文件 在 那個 箱子 裡,My papers were in that box
我 妹妹 有架 漂亮 的 钢琴,My sister has a nice piano
我 叔叔 给 了 我 一份 礼物,My uncle gave me a present
我 叔叔 給了 我 這支 錶,My uncle gave me the watch
汤姆 和 我 都 没有 那么 做,Neither Tom nor I did that
這些 錢 都 不是 你 的,None of the money is yours
這些 都 不是 你 的 錢,None of this is your money
不是 每個 人 都 能 成為 詩人,Not everyone can be a poet
现在 是 行动 的 时候 了,Now is the time for action
哦 我 很 遺憾 聽 到 這個 消息,Oh I'm sorry to hear that
請 把 鹽 遞給 我 好 嗎,Pass me the salt will you
請 讓 我 試試 這個 遊戲 吧,Please let me try the game
她給 了 他 一個 溫柔 的 吻,She gave him a tender kiss
她 奇怪 地 看 了 我 一眼,She gave me a strange look
她給 了 我們 一個 模糊 的 答案,She gave us a vague answer
她 该 接受 她 的 命运,She had to accept her fate
她 有 一只 狗 和 六只 猫,She has a dog and six cats
她 手里 拿 着 一 朵玫瑰,She has a rose in her hand
她 是 个 非常 好 的 老师,She is a very good teacher
她現 在 更加 年長 也 更加 有 智慧,She is older and wiser now
她 住 在 一棟 大房子 裡,She lives in a large house
她 嫁給 了 一個 富有 的 老 男人,She married a rich old man
她 嫁给 了 个 有钱 老头,She married a rich old man
她 領他 到 他 的 座位 上,She showed him to his seat
她 把 我 认作 我 弟弟 了,She took me for my brother
待 在 原地 直到 我 找到 你,Stay put till I get to you
告诉 我 拿 它 做 什么,Tell me what to do with it
你 确定 没有 这么 做 吧,Tell me you didn't do this
告诉 我 你 没有 这么 做,Tell me you didn't do this
那 不是 我 對 湯姆 說 的,That's not what I told Tom
狗 總 是 對 著 我 嚎叫,The dog always barks at me
狗 向着 我 跑 了 过来,The dog came running to me
這個 老人 擋 了 她 的 路,The old man got in her way
这个 房间 里 有 个 电视机,There is a TV in this room
他们 都 羡慕 我 的 新车,They all envied my new car
他們 屈服 於 我 的 看法 了,They gave in to my opinion
這種 飲料 是 免費 招待 的,This drink is on the house
这是 一本 关于 星星 的 书,This is a book about stars
这 是 本 关于 星星 的 书,This is a book about stars
湯姆 和 我 是 好 朋友,Tom and I are good friends
湯姆 不 可能 比 我 年 長,Tom can't be older than me
湯姆 不 知道 那 是 誰,Tom didn't know who it was
汤姆 犯 了 个 大 失误,Tom has made a big mistake
汤姆 从来 都 没有 准时 过,Tom has never been on time
汤姆 帮 我 修好 了 我 的 手表,Tom helped me fix my watch
湯姆 是 個 大方 的 人,Tom is a very generous man
汤姆 在 长沙 发 上 睡着 了,Tom is asleep on the couch
汤姆 在 做 他 喜欢 做 的 事,Tom is doing what he loves
湯姆得 了 流感 躺 在 床上,Tom is in bed with the flu
汤姆 在 和 我 的 狗 一起 玩,Tom is playing with my dog
湯姆 讓 瑪 麗 幚 約 翰,Tom told Mary to help John
湯姆 告訴 我 他 住 在 哪裡,Tom told me where he lived
我 走 了 后 汤姆 接手 了,Tom took over after I left
汤姆 以前 跟 玛丽 住 得 近,Tom used to live near Mary
湯姆 是 最先 作出 反應 的,Tom was the first to react
湯姆 的 名字 在 名 單上,Tom's name was on the list
在 這兒 等 著 直到 我 回來,Wait here till I come back
我们 每周 在 这儿 聚 一次,We gather here once a week
我們 給了 母親 一支 手 錶,We gave our mother a watch
我們 在 兩點鐘 吃 了 晚 午餐,We had a late lunch at two
我們 在 兩點鐘 很 晚 才 吃 午餐,We had a late lunch at two
我們 不 知道 要 做 甚麼,We have no idea what to do
我們 有 兩 張床 的 空 位置,We have space for two beds
我们 看见 汤姆 跟 玛丽 说话,We saw Tom talking to Mary
我们 被 逼 得 走投无路 了,We were driven to the wall
你 的 新車 是 甚麼 顏色 的,What color is your new car
你 给 你 儿子 起 什么 名字,What did you name your son
关于 那个 你 有 什么 看法,What do you think about it
你 对 这件 事有 什么 看法,What do you think about it
她 是 怎样 的 人 呢,What kind of person is she
你 什么 时候 学会 游泳 的,When did you learn to swim
我 该 在 哪儿 付 煤气费,Where do I pay for the gas
你 想 跟 誰 說 話,Who do you want to talk to
這把 槍 是屬 於 誰 的,Who does the gun belong to
在 门口 的 女孩 是 谁,Who's the girl at the door
为什么 他会 做 这样 的 事 呢,Why did he do such a thing
你 為 什麼 需要 這筆 錢,Why do you need this money
为什么 你 每天 都 学习 呢,Why do you study every day
你們 為 什麼 想 殺 我,Why do you want to kill me
你 為 什麼 想 殺 我,Why do you want to kill me
你 為 什麼 不 舉行 派 對,Why don't you have a party
第二次 世界 大戰 結束 於 1945 年,World War II ended in 1945
能 借 我 支 铅笔 吗,Would you lend me a pencil
請 你 把 鹽 遞給 我 好 嗎,Would you pass me the salt
你 和 我 是 好 朋友,You and I are good friends
你 讓 我 感到 很 內疚,You make me feel so guilty
你 可以 選擇 他們 之中 的 任何 一個,You may choose any of them
你 没 必要 马上 去 做,You need not do it at once
小洞 及 時補 免遭 大洞 苦,A stitch in time saves nine
所有 的 牛奶 都 溢出 去 了,All of the milk was spilled
所有 的 牛奶 都灑 出去 了,All of the milk was spilled
他們 所有 的 人 都 沒 有 出席,All of them are not present
这些 书 都 是 我 的,All of these books are mine
你们 在 听 我 说 吗,Are you all listening to me
等 她 回来 的 时候 问问 她,Ask her when she comes back
起初 我 不 知道 為 什麼,At first I had no idea why
我 能些 吃 的 東西 嗎,Can I have something to eat
你 自己 一個 人能 做 嗎,Can you do that by yourself
你 能 教 我 飞 吗,Can you teach me how to fly
汤姆 不 知道 该 做 什么 吗,Did Tom not know what to do
你 在家 吃 过 了 吗,Did you already eat at home
這是 你 自己 做 的 嗎,Did you do this on your own
你 從 湯姆 那裡 學到 了 嗎,Did you learn that from Tom
你 没有 把 你 的 车上 锁 吗,Didn't you lock up your car
你 相信 他 說 的 話 嗎,Do you believe what he said
你 关心 他们 在 想 什么 吗,Do you care what they think
你 有 任何 話 要 說 嗎,Do you have anything to say
你 在 听 我 说 吗,Do you hear what I'm saying
你 知道 汤姆 住 哪儿 吗,Do you know where Tom lives
你 有 什么 需要 买 的 吗,Do you need to buy anything
你 想要 吃 任何 東西 嗎,Do you want anything to eat
您 想 吃 点 什么 吗,Do you want anything to eat
你 想 不 想要 這 工作,Do you want this job or not
你 打算 去 什么 地方 吗,Do you want to go somewhere
你 想 跟 汤姆 说话 吗,Do you want to speak to Tom
她 曾经 坠入 过 爱河 吗  ,Has she ever fallen in love
我 走 之后 他 到达 了,He arrived after I had left
他 能 为 你 暗箱 操作,He can pull strings for you
他 不 知道 说 什么 好,He did not know what to say
他 和 他 的 儿子 放风筝 了,He flew a kite with his son
他 從 銀行 得到 了 貸款,He got a loan from the bank
他 和 我 的 堂姊妹 订婚 了,He got engaged to my cousin
他仅 有够 糊口 的 吃 的,He had barely enough to eat
他 已經 兩天 沒 吃 東西 了,He hadn't eaten in two days
他 拥有 的 书 比 我 的 多,He has more books than I do
他 幫 我 做 我 的 功課,He helped me do my homework
他 是 我 的 一位 老朋友,He is an old friend of mine
他 和 他 爸爸 一样 高,He is as tall as his father
他 很 高興 聽 到 這個 消息,He is glad to hear the news
他 只是 跟 你 開 玩笑,He is just pulling your leg
他 以 一個 偉大 的 詩人聞名,He is known as a great poet
他 可能 很快 就 到 了,He is likely to arrive soon
他 在 公共 場合 取笑 了 我,He made fun of me in public
他 可能 在 下 一班 火車 上,He may be on the next train
他 把 我誤 認為 是 我 的 母親,He mistook me for my mother
他 假裝 沒 有 聽 見 我,He pretended not to hear me
他 65 岁 退 了 休,He retired at the age of 65
他 这么 说 就是 为了 开玩笑,He said it merely as a joke
他 似乎 已經 說 了 謊,He seems to have told a lie
他 朝着 狗 扔 了 块 石头,He threw a stone at the dog
他 帶 她 出去 兜風 了,He took her out for a drive
他 在 众人 面前 被 嘲笑,He was laughed at in public
他 总是 对 我 很 亲切,He's always been kind to me
她 的 梦想 是 参观 巴黎,Her dream is to visit Paris
她 的 花园 是 一件 艺术作品,Her garden is a work of art
这儿 有张 德国 的 大 地图,Here's a big map of Germany
他 的 村屋 在 海岸 上,His cottage is on the coast
他 的 房子 又 小 又 旧,His house was small and old
他 的 名字 不 在 名单 里,His name is not on the list
它 怎麼 能 是 湯姆 的 錯,How could it be Tom's fault
你 怎麼 能 這麼 對 我 說 話,How dare you say that to me
关于 那件事 你 之前 怎么 想 的,How did you feel about that
你 是 怎么 认识 他 的,How did you get to know him
你 怎么 知道 我 喜欢 汤姆,How did you know I like Tom
你 住 在 那裡 多久 了,How long did you live there
他 不 在 这 有 多久 了,How long has he been absent
你 会 在 这儿 待 多久,How long will you stay here
你 觉得 汤姆 有 多 大,How old do you think Tom is
我 也 过 得 很 愉快,I also had a very good time
我現 在 要 去 這家 商店,I am going to the store now
我 问 了 汤姆 几个 问题,I asked Tom a few questions
我 相信 他們 說 的 話,I believe in what they said
我 在 這家 商店 買 了 一頂 帽子,I bought a hat at the store
我 只能 代表 我 自己 講話,I can only speak for myself
我 不能 相信 他 做到 了,I can't believe he did that
沒有 她 的 幫助 我 做 不到,I can't do without her help
我 没 听懂 他 说 的话,I didn't catch what he said
我 沒 有 和 她 相處過,I didn't get along with her
我 沒 有 聽 清楚 你 的 姓,I didn't get your last name
我 很 希望 你 会 再 来,I do hope you'll come again
我 不 知道 如何 使用 它,I do not know how to use it
我 一点 咖啡 也 不 喝,I don't drink coffee at all
我 不 乘 公交 去 学校,I don't go to school by bus
我 不 知道 我能 不能 做,I don't know if I can do it
我 不 知道 我 在 做 甚麼,I don't know what I'm doing
我 不 知道 他 住 在 哪裡,I don't know where he lives
我 不 知道 也 不想 知道,I don't know nor do I care
我 一点 都 不 喜欢 阅读,I don't like reading at all
我 不 觉得 他 很 诚实,I don't think he is sincere
我 不 相信 他 是 真心 的,I don't think he is sincere
我 不 認為 他 會 說 好,I don't think he'll say yes
我 不 認為 他 會 同意,I don't think he'll say yes
